species_name,genus,family,superfamily,suborder,order,role,assembly_accession,assembly_name,assembly_level,refseq_category,genome_size_mb,contig_N50,scaffold_N50,number_of_scaffolds,gc_percent,gene_annotation_available,annotation_source,primary_source,secondary_source,ncbi_bioproject,ncbi_biosample,submission_date,publication_doi,publication_year,pubmed_id,citation_short,restriction_status,restriction_notes,data_generating_consortium,include_recommended,conflict_flag,notes,ncbi_assembly_url,ncbi_download_url,ncbi_datasets_command,bioproject_url,total_score,selection_status
Abax parallelepipedus,Abax,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_964197645.1,icAbaPara2.1,Chromosome,reference genome,596.99,3250000,35806512,315,33.5,yes,NCBI/RefSeq,NCBI,,PRJEB77062,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964197645.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_964197645.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_964197645.1.zip","datasets download genome accession GCA_964197645.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB77062,205.53962017383543,primary
Abscondita cerata,Abscondita,Lampyridae,Elateroidea,Polyphaga,Coleoptera,ingroup,GCA_030710515.1,AcBM8_1.0,Contig,reference genome,967.16,325269,325269,4856,32.0,yes,NCBI/RefSeq,NCBI,,PRJNA699421,,,,,,,published_open,,,conditional,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_030710515.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_030710515.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_030710515.1.zip","datasets download genome accession GCA_030710515.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA699421,105.12242674500804,primary
Abscondita terminalis,Abscondita,Lampyridae,Elateroidea,Polyphaga,Coleoptera,ingroup,GCA_013368085.1,Ate,Scaffold,,499.65,1220005,1220005,3187,31.5,check,,NCBI,,PRJNA556938,,,,,,,to_verify,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_013368085.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_013368085.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_013368085.1.zip","datasets download genome accession GCA_013368085.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA556938,110.86361610566519,primary
Acanthacorydalis orientalis,Acanthacorydalis,Corydalidae,,,Megaloptera,outgroup,GCA_034766995.1,ASM3476699v1,Chromosome,reference genome,547.98,7766947,50530519,27,27.5,yes,NCBI/RefSeq,NCBI,,PRJNA1021543,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_034766995.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_034766995.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_034766995.1.zip","datasets download genome accession GCA_034766995.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1021543,207.03553758908694,primary
Acanthoscelides obtectus,Acanthoscelides,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera,ingroup,GCA_963669975.1,AobtHiC_assembly,Scaffold,reference genome,1105.07,772864,108704056,3796,37.5,yes,NCBI/RefSeq,NCBI,,PRJEB69220,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_963669975.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_963669975.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_963669975.1.zip","datasets download genome accession GCA_963669975.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB69220,170.3624574892121,primary
Actenicerus siaelandicus,Actenicerus,Elateridae,Elateroidea,Polyphaga,Coleoptera,ingroup,GCA_964234755.1,icActSiae1.1,Chromosome,reference genome,854.91,6386061,83355646,373,35.0,yes,NCBI/RefSeq,NCBI,,PRJEB79055,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964234755.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_964234755.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_964234755.1.zip","datasets download genome accession GCA_964234755.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB79055,209.20935021603742,primary
Acupalpus dubius,Acupalpus,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_977071005.1,icAcuDubi2.1,Chromosome,reference genome,656.07,1035434,35587265,666,31.0,yes,NCBI/RefSeq,NCBI,,PRJEB104223,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_977071005.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_977071005.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_977071005.1.zip","datasets download genome accession GCA_977071005.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB104223,205.51294612307026,primary
Acupalpus parvulus,Acupalpus,Carabidae,Caraboidea,Adephaga,Coleoptera,ingroup,GCA_981690485.1,icAcuParv1.hap1.1,Chromosome,reference genome,571.87,12668308,28561053,520,30.5,yes,NCBI/RefSeq,NCBI,,PRJEB108865,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_981690485.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_981690485.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_981690485.1.zip","datasets download genome accession GCA_981690485.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB108865,204.5577421513702,primary
Adalia bipunctata,Adalia,Coccinellidae,Coccinelloidea,Polyphaga,Coleoptera,ingroup,GCA_910592335.1,icAdaBipu1.1,Chromosome,reference genome,475.27,18317171,45869983,118,36.0,yes,NCBI/RefSeq,NCBI,,PRJEB45686,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_910592335.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_910592335.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_910592335.1.zip","datasets download genome accession GCA_910592335.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB45686,206.61528579176945,primary
Adalia decempunctata,Adalia,Coccinellidae,Coccinelloidea,Polyphaga,Coleoptera,ingroup,GCA_951802165.1,icAdaDece3.1,Chromosome,reference genome,489.43,26378788,51987084,81,36.5,yes,NCBI/RefSeq,NCBI,,PRJEB62627,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_951802165.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_951802165.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_951802165.1.zip","datasets download genome accession GCA_951802165.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB62627,207.15895458167847,primary
