species_name,genus,family,superfamily,suborder,order,role,assembly_accession,assembly_name,assembly_level,refseq_category,genome_size_mb,contig_N50,scaffold_N50,number_of_scaffolds,gc_percent,gene_annotation_available,annotation_source,primary_source,secondary_source,ncbi_bioproject,ncbi_biosample,submission_date,publication_doi,publication_year,pubmed_id,citation_short,restriction_status,restriction_notes,data_generating_consortium,include_recommended,conflict_flag,notes,ncbi_assembly_url,ncbi_download_url,ncbi_datasets_command,bioproject_url
Monochamus sutor,Monochamus,Cerambycidae,Chrysomeloidea,Polyphaga,Coleoptera,ingroup,GCA_052757275.1,ASM5275727v1,Complete Genome,reference genome,789.93,88393016,88393016,11,33,yes,NCBI/RefSeq,NCBI,,PRJNA1290528,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_052757275.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_052757275.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_052757275.1.zip","datasets download genome accession GCA_052757275.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1290528
Diabrotica virgifera virgifera,Diabrotica,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera,ingroup,GCA_917563875.2,PGI_DIABVI_V3a,Chromosome,reference genome,2533.4,7930419,264456228,10,33,yes,NCBI/RefSeq,NCBI,,PRJEB47906,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_917563875.2/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_917563875.2/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_917563875.2.zip","datasets download genome accession GCA_917563875.2 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB47906
Diabrotica virgifera virgifera,Diabrotica,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera,ingroup,GCF_917563875.1,PGI_DIABVI_V3a,Chromosome,reference genome,2533.4,7930419,264456228,10,33,yes,NCBI/RefSeq,NCBI,,PRJEB47906,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_917563875.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCF_917563875.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCF_917563875.1.zip","datasets download genome accession GCF_917563875.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB47906
Aethina tumida,Aethina,Nitidulidae,Cucujoidea,Polyphaga,Coleoptera,ingroup,GCA_024364675.1,icAetTumi1.1,Chromosome,reference genome,259.97,11742490,36783356,8,28,yes,NCBI/RefSeq,NCBI,,PRJNA825637,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_024364675.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_024364675.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_024364675.1.zip","datasets download genome accession GCA_024364675.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA825637
Aethina tumida,Aethina,Nitidulidae,Cucujoidea,Polyphaga,Coleoptera,ingroup,GCF_024364675.1,icAetTumi1.1,Chromosome,reference genome,259.97,11742490,36783356,8,28,yes,NCBI/RefSeq,NCBI,,PRJNA825637,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_024364675.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCF_024364675.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCF_024364675.1.zip","datasets download genome accession GCF_024364675.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA825637
Coccinella transversoguttata,Coccinella,Coccinellidae,Coccinelloidea,Polyphaga,Coleoptera,ingroup,GCA_053478235.1,ASM5347823v1,Chromosome,reference genome,416.88,27814102,42967107,10,36.5,yes,NCBI/RefSeq,NCBI,,PRJNA1268667,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_053478235.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_053478235.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_053478235.1.zip","datasets download genome accession GCA_053478235.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1268667
Eucryptorrhynchus scrobiculatus,Eucryptorrhynchus,Curculionidae,Curculionoidea,Polyphaga,Coleoptera,ingroup,GCA_046736385.1,TTW_Escr_1.0,Chromosome,reference genome,318.25,4215381,17602443,18,33.5,yes,NCBI/RefSeq,NCBI,,PRJNA663363,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_046736385.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_046736385.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_046736385.1.zip","datasets download genome accession GCA_046736385.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA663363
Arhopalus unicolor,Arhopalus,Cerambycidae,Chrysomeloidea,Polyphaga,Coleoptera,ingroup,GCA_045514315.1,ASM4551431v1,Chromosome,reference genome,1224.89,19298574,161702413,10,32.5,yes,NCBI/RefSeq,NCBI,,PRJNA1112115,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_045514315.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_045514315.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_045514315.1.zip","datasets download genome accession GCA_045514315.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1112115
Tribolium freemani,Tribolium,Tenebrionidae,Tenebrionoidea,Polyphaga,Coleoptera,ingroup,GCA_939628115.1,Tfree1.0,Chromosome,reference genome,269.17,8487211,32307706,11,32.5,yes,NCBI/RefSeq,NCBI,,PRJEB52307,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_939628115.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_939628115.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_939628115.1.zip","datasets download genome accession GCA_939628115.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB52307
Agrilus cyanescens,Agrilus,Buprestidae,Buprestoidea,Polyphaga,Coleoptera,ingroup,GCA_947389935.1,icAgrCyan1.1,Chromosome,reference genome,292.34,5283000,29744825,10,34,yes,NCBI/RefSeq,NCBI,,PRJEB57759,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_947389935.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_947389935.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_947389935.1.zip","datasets download genome accession GCA_947389935.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB57759
Monochamus scutellatus,Monochamus,Cerambycidae,Chrysomeloidea,Polyphaga,Coleoptera,ingroup,GCA_052862855.1,Mscu_1.0,Chromosome,reference genome,813.23,45367300,87924993,10,32.5,yes,NCBI/RefSeq,NCBI,,PRJNA1289024,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_052862855.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_052862855.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_052862855.1.zip","datasets download genome accession GCA_052862855.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1289024
Larinus planus,Larinus,Curculionidae,Curculionoidea,Polyphaga,Coleoptera,ingroup,GCA_977012605.1,icLarPlan3.hap1.1,Chromosome,reference genome,1137.81,27391000,59970235,19,35.5,yes,NCBI/RefSeq,NCBI,,PRJEB101224,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_977012605.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_977012605.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_977012605.1.zip","datasets download genome accession GCA_977012605.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB101224
Distenia gracilis,Distenia,Cerambycidae,Chrysomeloidea,Polyphaga,Coleoptera,ingroup,GCA_055671715.1,Dgra_1.0,Chromosome,reference genome,1835.74,27182915,203499518,10,32,yes,NCBI/RefSeq,NCBI,,PRJNA1366490,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_055671715.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_055671715.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_055671715.1.zip","datasets download genome accession GCA_055671715.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1366490
Brassicogethes aeneus,Brassicogethes,Nitidulidae,Cucujoidea,Polyphaga,Coleoptera,ingroup,GCA_921294245.1,PGI_MELIAE_v1,Chromosome,reference genome,585.28,24416959,61642216,11,30.5,yes,NCBI/RefSeq,NCBI,,PRJEB48953,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_921294245.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_921294245.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_921294245.1.zip","datasets download genome accession GCA_921294245.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB48953
Tetraopes melanurus,Tetraopes,Cerambycidae,Chrysomeloidea,Polyphaga,Coleoptera,ingroup,GCA_054850815.1,Tmel_1.0,Chromosome,reference genome,684.56,23086903,74850470,10,32.5,yes,NCBI/RefSeq,NCBI,,PRJNA1287481,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_054850815.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_054850815.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_054850815.1.zip","datasets download genome accession GCA_054850815.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1287481
Anoplophora malasiaca,Anoplophora,Cerambycidae,Chrysomeloidea,Polyphaga,Coleoptera,ingroup,GCA_054644075.1,Amal_1.0,Chromosome,reference genome,674.34,12712079,43907390,15,33,yes,NCBI/RefSeq,NCBI,,PRJNA1393341,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_054644075.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_054644075.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_054644075.1.zip","datasets download genome accession GCA_054644075.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1393341
Phyllotreta cruciferae,Phyllotreta,Chrysomelidae,Chrysomeloidea,Polyphaga,Coleoptera,ingroup,GCA_917563865.1,PGI_PHYECR_V1,Chromosome,reference genome,135.12,7248987,7733062,17,35,yes,NCBI/RefSeq,NCBI,,PRJEB47904,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_917563865.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_917563865.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_917563865.1.zip","datasets download genome accession GCA_917563865.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB47904
Tetraopes sublaevis,Tetraopes,Cerambycidae,Chrysomeloidea,Polyphaga,Coleoptera,ingroup,GCA_054850805.1,Tsub_1.0,Chromosome,reference genome,755.59,5570646,84477032,10,32.5,yes,NCBI/RefSeq,NCBI,,PRJNA1287481,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_054850805.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_054850805.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_054850805.1.zip","datasets download genome accession GCA_054850805.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1287481
Tetraopes tetrophthalmus,Tetraopes,Cerambycidae,Chrysomeloidea,Polyphaga,Coleoptera,ingroup,GCA_054850835.1,Ttet_1.0,Chromosome,reference genome,788.9,5304993,85673404,10,32.5,yes,NCBI/RefSeq,NCBI,,PRJNA1287481,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_054850835.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_054850835.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_054850835.1.zip","datasets download genome accession GCA_054850835.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1287481
Platystomos albinus,Platystomos,Anthribidae,Curculionoidea,Polyphaga,Coleoptera,ingroup,GCA_964106875.1,icPlaAlbi1.hap1.1,Chromosome,reference genome,555.31,4331580,69355648,11,36.5,yes,NCBI/RefSeq,NCBI,,PRJEB76113,,,,,,,published_open,,,yes,,,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_964106875.1/,"https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_964106875.1/download?include_annotation_type=GENOME_FASTA,GENOME_GFF,RNA_FASTA,PROT_FASTA&filename=GCA_964106875.1.zip","datasets download genome accession GCA_964106875.1 --include gff3,rna,protein,genome",https://www.ncbi.nlm.nih.gov/bioproject/PRJEB76113
