organism,taxid,family,suborder,project,assembly_name,status,goat_sequencing_status,accession,wgs_accession,assembly_span_mb,contig_n50,assembly_level,goat_assembly_id,record_type,in_tob_inventory
Actenicerus siaelandicus,869165,Elateridae,Polyphaga,DToL,icActSiae1.1 alternate haplotype,alternate_haplotype,published,GCA_964235275.1,CAXSAW01,1430.37,89605,Scaffold,GCA_964235275.1,assembly,yes
Acupalpus dubius,346686,Carabidae,Adephaga,DToL,icAcuDubi2.1 alternate haplotype,alternate_haplotype,published,GCA_977071085.1,CDRVHX01,933.36,152069,Scaffold,GCA_977071085.1,assembly,yes
Adalia bipunctata,7084,Coccinellidae,Polyphaga,DToL,icAdaBipu1.1 alternate haplotype,alternate_haplotype,published,GCA_910591895.1,CAJUZC01,357.82,1842588,Scaffold,GCA_910591895.1,assembly,yes
Adalia decempunctata,115343,Coccinellidae,Polyphaga,DToL,icAdaDece3.1 alternate haplotype,alternate_haplotype,published,GCA_951802185.1,CATOPU01,463.83,4344916,Contig,GCA_951802185.1,assembly,yes
Adelopsella bosnica,3073150,Leiodidae,Polyphaga,DToL,icAdeBosn.1,Chromosome,published,GCA_977014165.1,CDRNKA01,860.51,2441452,Chromosome,GCA_977014165.1,assembly,yes
Adinopsis sp. GC000173,3032616,Staphylinidae,Polyphaga,unknown,Caltech_Adi_1.0,alternate_haplotype,published,GCA_030264715.1,JARJDW01,205.15,16056,Scaffold,GCA_030264715.1,assembly,yes
Adranes taylori,1535445,Staphylinidae,Polyphaga,unknown,ASM986724v2,Scaffold,published,GCA_009867245.2,WYDF02,887.79,7172,Scaffold,GCA_009867245.2,assembly,yes
Aenictocupidus jacobsonorum,1962788,Staphylinidae,Polyphaga,unknown,ASM1001476v2,Scaffold,published,GCA_010014765.2,JAAAKC02,176.36,1398,Scaffold,GCA_010014765.2,assembly,yes
Aethina tumida,116153,Nitidulidae,Polyphaga,DToL,icAetTumi1.1,Chromosome,published,GCA_024364675.1,JALKMD01,259.97,11742490,Chromosome,GCA_024364675.1,assembly,yes
Aethina tumida,116153,Nitidulidae,Polyphaga,DToL,icAetTumi1.1 alternate haplotype,alternate_haplotype,published,GCA_024364635.1,JALKME01,207.55,840799,Contig,GCA_024364635.1,assembly,yes
Agelastica alni,131577,Chrysomelidae,Polyphaga,DToL,icAgeAlni6.2 alternate haplotype,alternate_haplotype,published,GCA_950106765.2,CATNNC02,589.99,355703,Contig,GCA_950106765.2,assembly,yes
Agonum fuliginosum,1553040,Carabidae,Adephaga,DToL,icAgoFuli1.1 alternate haplotype,alternate_haplotype,published,GCA_947534335.1,CANNYL01,626.01,748655,Contig,GCA_947534335.1,assembly,yes
Agonum thoreyi,1553045,Carabidae,Adephaga,DToL,icAgoThor1.hap1.1,Chromosome,published,GCA_982345065.1,CEVQYX01,824.45,13218560,Chromosome,GCA_982345065.1,assembly,yes
Agonum thoreyi,1553045,Carabidae,Adephaga,DToL,icAgoThor1.hap2.1,Scaffold,published,GCA_982345025.1,CEVQYV01,814.19,15996939,Scaffold,GCA_982345025.1,assembly,yes
