accession,organism,family,suborder,length_bp,submission_date,in_tob_winners
KX035141.1,Amphizoa insolens,Amphizoidae,Adephaga,15117,2017/10/31,no
NC_036271.1,Amphizoa insolens,Amphizoidae,Adephaga,15117,2017/11/16,no
KX087350.1,Stricticollis tobias,Anthicidae,Polyphaga,15597,2017/10/13,no
MN459662.1,Lepidapion squamigerum,Apionidae,Polyphaga,18562,2019/12/23,no
NC_012139.1,Aspidytes niobe,Aspidytidae,Adephaga,14257,2009/03/06,no
MT740322.1,Deporaus marginatus,Attelabidae,Polyphaga,16873,2020/08/24,no
NC_051943.1,Deporaus marginatus,Attelabidae,Polyphaga,16873,2020/12/10,no
PV394240.1,Biphyllidae sp.,Biphyllidae,Polyphaga,15925,2026/03/17,no
PV394246.1,Biphyllidae sp.,Biphyllidae,Polyphaga,15930,2026/03/17,no
FJ613421.1,Apatides fortis,Bostrichidae,Polyphaga,16171,2009/11/16,no
NC_013582.1,Apatides fortis,Bostrichidae,Polyphaga,16171,2009/12/04,no
KX087284.1,Dinoderus minutus,Bostrichidae,Polyphaga,15230,2017/10/13,no
MH817139.1,Rhyzopertha dominica,Bostrichidae,Polyphaga,15859,2019/05/08,yes
NC_042820.1,Rhyzopertha dominica,Bostrichidae,Polyphaga,15859,2019/06/25,yes
PX924411.1,Sinoxylon flabrarius,Bostrichidae,Polyphaga,16009,2026/02/01,no
PX924409.1,Sinoxylon japonicum,Bostrichidae,Polyphaga,15610,2026/02/01,no
PX924410.1,Sinoxylon pygmaeum,Bostrichidae,Polyphaga,15543,2026/02/01,no
KF811054.1,Dastarcus helophoroides,Bothrideridae,Polyphaga,15878,2014/05/30,yes
NC_024271.1,Dastarcus helophoroides,Bothrideridae,Polyphaga,15878,2014/06/11,yes
PX230580.1,Coniatus sp.,Brachyceridae,Polyphaga,17077,2026/02/18,no
MK421358.1,Cylas formicarius,Brentidae,Polyphaga,17150,2020/03/02,yes
NC_046580.1,Cylas formicarius,Brentidae,Polyphaga,17150,2020/03/26,yes
OQ763214.1,Cylas formicarius,Brentidae,Polyphaga,17149,2023/05/10,yes
OQ763215.1,Cylas formicarius,Brentidae,Polyphaga,17152,2023/05/10,yes
OQ763216.1,Cylas formicarius,Brentidae,Polyphaga,17147,2023/05/10,yes
OQ763217.1,Cylas formicarius,Brentidae,Polyphaga,17146,2023/05/10,yes
OQ763218.1,Cylas formicarius,Brentidae,Polyphaga,17146,2023/05/10,yes
OQ763219.1,Cylas formicarius,Brentidae,Polyphaga,17146,2023/05/10,yes
OQ763220.1,Cylas formicarius,Brentidae,Polyphaga,17146,2023/05/10,yes
