accession,organism,taxid,family,suborder,assembly_level,contig_N50,scaffold_N50,total_length_mb,submission_date,submitter,in_scarab_catalog,tob_score,tob_recommendation
GCA_035320865.1,Monochamus alternatus,192382,Cerambycidae,Polyphaga,Chromosome,82973183,82973183,792.14,2024-01-09,Beijing Forestry University,no,A,include
GCA_054643955.1,Onthophagus binodis,560254,Scarabaeidae,Polyphaga,Chromosome,58686139,102981365,880.47,2026-01-22,Indiana University,no,A,include
GCA_979861375.1,Larinus ursus,1342031,Curculionidae,Polyphaga,Chromosome,45364611,86231057,1743.48,2026-02-27,Centro Nacional de Análisis Genómico,no,A,include
GCA_056522465.1,Coccinella transversoguttata,1790162,Coccinellidae,Polyphaga,Chromosome,41602012,41602012,376.26,2026-04-02,Jiangsu University of Science and Technology,no,A,include
GCA_036711975.1,Onthophagus taurus,166361,Scarabaeidae,Polyphaga,Chromosome,33052070,33174080,290.86,2024-02-21,Indiana University,no,A,include
GCA_056632495.1,Ips calligraphus,102827,Curculionidae,Polyphaga,Chromosome,32862705,32862705,492.99,2026-04-08,Kunming Institute of Zoology,no,A,include
GCA_932526585.1,Philonthus cognatus,346820,Staphylinidae,Polyphaga,Chromosome,29486216,108863099,1030.58,2022-03-23,WELLCOME SANGER INSTITUTE,no,A,include
GCA_056777075.1,Cyrtotrachelus buqueti,1892066,Curculionidae,Polyphaga,Chromosome,27634790,75426724,632.31,2026-04-17,Leshan normal university,no,A,include
GCA_976997095.1,Laparocerus anagae,1963931,Curculionidae,Polyphaga,Chromosome,25606415,52580765,513.84,2025-11-24,NBIS (National Bioinformatics Infrastructure Sweden),no,A,include
GCA_964262855.1,Dendarus foraminosus,2712997,Tenebrionidae,Polyphaga,Chromosome,24404000,51873200,593.99,2024-09-13,Genoscope CEA,no,A,include
GCA_026250575.1,Diorhabda carinulata,1163345,Chrysomelidae,Polyphaga,Chromosome,23459757,34144059,415.39,2022-11-21,United States Department of Agriculture,no,A,include
GCA_964417215.1,Prionocyphon serricornis,1569171,Scirtidae,Polyphaga,Chromosome,23304763,24479486,711.54,2024-12-06,WELLCOME SANGER INSTITUTE,no,A,include
GCA_914767665.1,Harmonia axyridis,115357,Coccinellidae,Polyphaga,Chromosome,22915403,63675256,425.52,2021-09-19,WELLCOME SANGER INSTITUTE,no,A,include
GCA_982297005.1,Scarites abbreviatus,3349997,Carabidae,Adephaga,Chromosome,17448818,30887957,749.67,2026-03-19,NBIS (National Bioinformatics Infrastructure Sweden),no,A,include
GCA_907165205.1,Coccinella septempunctata,41139,Coccinellidae,Polyphaga,Chromosome,16512651,41442133,398.85,2021-05-19,WELLCOME SANGER INSTITUTE,no,A,include
GCA_031307605.1,Tribolium castaneum,7070,Tenebrionidae,Polyphaga,Chromosome,16193484,20636470,241.86,2023-09-14,USDA-ARS Ag100Pest,no,A,include
GCA_982374485.1,Phytoecia cylindrica,1588379,Cerambycidae,Polyphaga,Chromosome,16066490,87406049,831.48,2026-04-05,WELLCOME SANGER INSTITUTE,no,A,include
GCA_911728475.1,Pterostichus madidus,767470,Carabidae,Adephaga,Chromosome,15821749,37879541,705.16,2021-08-08,WELLCOME SANGER INSTITUTE,no,A,include
GCA_911728435.1,Apoderus coryli,201766,Attelabidae,Polyphaga,Chromosome,15031106,23694900,428.08,2021-08-08,WELLCOME SANGER INSTITUTE,no,A,include
GCA_937662695.1,Halyzia sedecimguttata,347359,Coccinellidae,Polyphaga,Chromosome,13814148,110337179,911.6,2022-05-30,WELLCOME SANGER INSTITUTE,no,A,include
GCA_029169275.1,Apis cerana,7461,Apidae,Apocrita,Chromosome,13386827,13386827,223.06,2023-03-14,Incheon National University,no,A,include
GCA_982345065.1,Agonum thoreyi,1553045,Carabidae,Adephaga,Chromosome,13218560,45893524,824.47,2026-03-26,WELLCOME SANGER INSTITUTE,no,A,include
GCA_905333025.1,Pyrochroa serraticornis,346838,Pyrochroidae,Polyphaga,Chromosome,12970676,37181734,249.41,2021-03-26,WELLCOME SANGER INSTITUTE,no,A,include
GCA_040543525.1,Serangium japonicum,544596,Coccinellidae,Polyphaga,Chromosome,12608783,59259543,668.33,2024-07-08,South China Agricultural University,no,A,include
GCA_976941425.1,Dailognatha quadricollis,575809,Tenebrionidae,Polyphaga,Chromosome,12600000,32277009,320.41,2025-11-17,Genoscope CEA,no,A,include
GCA_026230105.1,Diorhabda sublineata,1163346,Chrysomelidae,Polyphaga,Chromosome,12487216,38450617,456.22,2022-11-18,United States Department of Agriculture,no,A,include
GCA_024364675.1,Aethina tumida,116153,Nitidulidae,Polyphaga,Chromosome,11742490,36783356,259.98,2022-07-22,USDA Ag100Pest,no,A,include
GCA_982552315.1,Cantharis pellucida,877753,Cantharidae,Polyphaga,Chromosome,11565240,52222768,461.62,2026-04-28,WELLCOME SANGER INSTITUTE,no,A,include
